gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,conm,curcd,at,emp,revt,costat,naics
003144,2017-12-31,2017,INDL,C,D,STD,COCA-COLA CO,USD,87896.0000,61.8000,35410.0000,A,312111
003144,2018-12-31,2018,INDL,C,D,STD,COCA-COLA CO,USD,83216.0000,62.6000,31856.0000,A,312111
003144,2019-12-31,2019,INDL,C,D,STD,COCA-COLA CO,USD,86381.0000,86.2000,37266.0000,A,312111
003144,2020-12-31,2020,INDL,C,D,STD,COCA-COLA CO,USD,87296.0000,80.3000,33014.0000,A,312111
003144,2021-12-31,2021,INDL,C,D,STD,COCA-COLA CO,USD,94354.0000,79.0000,38655.0000,A,312111
003144,2022-12-31,2022,INDL,C,D,STD,COCA-COLA CO,USD,92763.0000,82.5000,43004.0000,A,312111
003144,2023-12-31,2023,INDL,C,D,STD,COCA-COLA CO,USD,97703.0000,79.1000,45754.0000,A,312111
003226,2015-12-31,2015,INDL,C,D,STD,COMCAST CORP,USD,166574.0000,153.0000,74510.0000,A,516210
003226,2016-12-31,2016,INDL,C,D,STD,COMCAST CORP,USD,180500.0000,159.0000,80403.0000,A,516210
003226,2017-12-31,2017,INDL,C,D,STD,COMCAST CORP,USD,186949.0000,164.0000,84526.0000,A,516210
003226,2018-12-31,2018,INDL,C,D,STD,COMCAST CORP,USD,251684.0000,184.0000,94507.0000,A,516210
003226,2019-12-31,2019,INDL,C,D,STD,COMCAST CORP,USD,263414.0000,190.0000,108942.0000,A,516210
003226,2020-12-31,2020,INDL,C,D,STD,COMCAST CORP,USD,273869.0000,168.0000,103564.0000,A,516210
003226,2021-12-31,2021,INDL,C,D,STD,COMCAST CORP,USD,275905.0000,189.0000,116385.0000,A,516210
003226,2022-12-31,2022,INDL,C,D,STD,COMCAST CORP,USD,257275.0000,186.0000,121427.0000,A,516210
003226,2023-12-31,2023,INDL,C,D,STD,COMCAST CORP,USD,264811.0000,186.0000,121572.0000,A,516210
003243,2015-12-31,2015,FS,C,D,STD,CITIGROUP INC,USD,1731210.0000,231.0000,88275.0000,A,522110
003243,2015-12-31,2015,INDL,C,D,STD,CITIGROUP INC,USD,1731210.0000,231.0000,88275.0000,A,522110
003243,2016-12-31,2016,FS,C,D,STD,CITIGROUP INC,USD,1792077.0000,219.0000,82566.0000,A,522110
003243,2016-12-31,2016,INDL,C,D,STD,CITIGROUP INC,USD,1792077.0000,219.0000,82566.0000,A,522110
003243,2017-12-31,2017,FS,C,D,STD,CITIGROUP INC,USD,1842465.0000,209.0000,87367.0000,A,522110
003243,2017-12-31,2017,INDL,C,D,STD,CITIGROUP INC,USD,1842465.0000,209.0000,87367.0000,A,522110
003243,2018-12-31,2018,FS,C,D,STD,CITIGROUP INC,USD,1917383.0000,204.0000,96720.0000,A,522110
003243,2018-12-31,2018,INDL,C,D,STD,CITIGROUP INC,USD,1917383.0000,204.0000,96720.0000,A,522110
